symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price,volume
3,168.64705882352942,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,27,13495.0,528019.904
3,168.64705882352942,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,27,16500.0,528019.904
1,128.5744680851064,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,26,16500.0,587592.6399999999
2,164.0,audi,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,30,13950.0,634816.956
2,164.0,audi,gas,std,four,sedan,4wd,front,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,22,17450.0,636734.832
2,125.6896551724138,audi,gas,std,two,sedan,fwd,front,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,25,15250.0,624189.969
1,158.0,audi,gas,std,four,sedan,fwd,front,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,25,17710.0,766364.046
1,128.5744680851064,audi,gas,std,four,wagon,fwd,front,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,25,18920.0,766364.046
1,158.0,audi,gas,turbo,four,sedan,fwd,front,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,20,23875.0,769115.8019999999
2,192.0,bmw,gas,std,two,sedan,rwd,front,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,29,16430.0,622095.5519999999
0,192.0,bmw,gas,std,four,sedan,rwd,front,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,29,16925.0,622095.5519999999
0,188.0,bmw,gas,std,two,sedan,rwd,front,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,28,20970.0,622095.5519999999
0,188.0,bmw,gas,std,four,sedan,rwd,front,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,28,21105.0,622095.5519999999
1,128.5744680851064,bmw,gas,std,four,sedan,rwd,front,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,25,24565.0,704276.3700000001
0,113.16666666666667,bmw,gas,std,four,sedan,rwd,front,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,22,30760.0,704276.3700000001
0,113.16666666666667,bmw,gas,std,two,sedan,rwd,front,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,22,41315.0,706639.3740000002
0,113.16666666666667,bmw,gas,std,four,sedan,rwd,front,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,20,36880.0,786358.99
2,121.0,chevrolet,gas,std,two,hatchback,fwd,front,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,53,5151.0,452643.156
1,98.0,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,43,6295.0,515592.48000000004
0,81.0,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,43,6575.0,525183.36
1,118.0,dodge,gas,std,two,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,41,5572.0,509815.592
1,118.0,dodge,gas,std,two,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6377.0,509815.592
1,118.0,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,30,7957.0,509815.592
1,148.0,dodge,gas,std,four,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6229.0,507808.444
1,148.0,dodge,gas,std,four,sedan,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6692.0,507808.444
1,148.0,dodge,gas,std,four,sedan,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,38,7609.0,507808.444
-1,110.0,dodge,gas,std,four,wagon,fwd,front,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,30,8921.0,674493.7679999999
3,145.0,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,24,12964.0,576454.632
2,137.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,54,6479.0,469388.95199999993
2,137.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,38,6855.0,469388.95199999993
1,101.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,42,5399.0,504960.0
1,101.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,34,6529.0,504960.0
1,101.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,34,7129.0,504960.0
0,110.0,honda,gas,std,four,sedan,fwd,front,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,34,7295.0,569939.2000000001
0,78.0,honda,gas,std,four,wagon,fwd,front,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,34,7295.0,585255.6269999999
0,106.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,33,7895.0,582089.3
